"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"P00918","CA2","DB00482","Celecoxib","InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)","Celecoxib is indicated for symptomatic treatment of adult osteoarthritis (OA) and adult rheumatoid arthritis (RA).[L7646] Celecoxib is not a substitute for aspirin for cardiovascular event prophylaxis.[L7646] 
It may be also be used to treat acute pain from various sources, juvenile rheumatoid arthritis in children over 2, ankylosing spondylitis, and primary dysmenorrhea.[L7646]
Celecoxib, in combination with [tramadol], is indicated for the management of acute pain in adults severe enough to require an opioid analgesic and in whom alternative treatments are inadequate.[L38949]","DrugBank"
"P00918","CA2","DB09460","Sodium carbonate","InChI=1S/CH2O3.2Na/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2","Used topically for dermatitides, mouthwash, vaginal douche; veterinary use as emergency emetic.Occasionally, for dermatitides topically as a lotion. Medication (Vet): In solution to cleanse skin, in eczema, to soften scabs of ringworm.","DrugBank"
"P00918","CA2","DB02535","Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide","InChI=1S/C13H21N3O5S/c14-5-7-20-9-10-21-8-6-16-13(17)11-1-3-12(4-2-11)22(15,18)19/h1-4H,5-10,14H2,(H,16,17)(H2,15,18,19)",NA,"DrugBank"
"P00918","CA2","DB01325","Quinethazone","InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17)","Used to treat hypertension.","DrugBank"
"P00918","CA2","DB04600","4-[(3-BROMO-4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE","InChI=1S/C16H13BrN6O3S/c17-15-7-13(3-6-16(15)26-27(19,24)25)9-23(22-10-20-21-11-22)14-4-1-12(8-18)2-5-14/h1-7,10-11H,9H2,(H2,19,24,25)",NA,"DrugBank"
"P00918","CA2","DB00562","Benzthiazide","InChI=1S/C15H14ClN3O4S3/c16-11-6-12-14(7-13(11)25(17,20)21)26(22,23)19-15(18-12)9-24-8-10-4-2-1-3-5-10/h1-7H,8-9H2,(H,18,19)(H2,17,20,21)","For the treatment of high blood pressure and management of edema.","DrugBank"
"P00918","CA2","DB03294","1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide","InChI=1S/C8H8N2O3S2/c1-10-7-3-2-5(15(9,12)13)4-6(7)8(11)14-10/h2-4H,1H3,(H2,9,12,13)",NA,"DrugBank"
"P00918","CA2","DB01119","Diazoxide","InChI=1S/C8H7ClN2O2S/c1-5-10-7-3-2-6(9)4-8(7)14(12,13)11-5/h2-4H,1H3,(H,10,11)","Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.","DrugBank"
"P00918","CA2","DB08846","Ellagic acid","InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H","Ellagic acid is being investigated for use in follicular lymphoma, brain injury in intrauterine growth restricted babies, obese adolescents, and solar lentigines.","DrugBank"
"P00918","CA2","DB07596","(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate","InChI=1S/C21H28N2O4S/c1-21-9-7-15-16(18(21)6-4-14(21)8-10-22)5-3-13-11-20(27-28(23,24)25)19(26-2)12-17(13)15/h11-12,14-16,18H,3-9H2,1-2H3,(H2,23,24,25)/t14-,15+,16-,18+,21-/m1/s1",NA,"DrugBank"
"P35218","CA5A","DB00909","Zonisamide","InChI=1S/C8H8N2O3S/c9-14(11,12)5-7-6-3-1-2-4-8(6)13-10-7/h1-4H,5H2,(H2,9,11,12)","Zonisamide capsules are indicated as adjunctive therapy in the treatment of partial seizures in adults with epilepsy.[L42530] Zonisamide oral suspension is indicated as adjunctive therapy for the treatment of partial-onset seizures in adults and pediatric patients 16 years of age and older.[L42535]","DrugBank"
"P35218","CA5A","DB01194","Brinzolamide","InChI=1S/C12H21N3O5S3/c1-3-14-10-8-15(5-4-6-20-2)23(18,19)12-9(10)7-11(21-12)22(13,16)17/h7,10,14H,3-6,8H2,1-2H3,(H2,13,16,17)/t10-/m0/s1","For the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.","DrugBank"
"P35218","CA5A","DB03385","4-Methylimidazole","InChI=1S/C4H6N2/c1-4-2-5-3-6-4/h2-3H,1H3,(H,5,6)",NA,"DrugBank"
"P35218","CA5A","DB08846","Ellagic acid","InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H","Ellagic acid is being investigated for use in follicular lymphoma, brain injury in intrauterine growth restricted babies, obese adolescents, and solar lentigines.","DrugBank"
"P27708","CAD","DB03459","Sparfosic acid","InChI=1S/C6H10NO8P/c8-4(2-16(13,14)15)7-3(6(11)12)1-5(9)10/h3H,1-2H2,(H,7,8)(H,9,10)(H,11,12)(H2,13,14,15)/t3-/m0/s1",NA,"DrugBank"
"Q8IU85","CAMK1D","DB08454","N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE","InChI=1S/C18H15N5/c1-12-11-16(23-22-12)20-18-14-9-5-6-10-15(14)19-17(21-18)13-7-3-2-4-8-13/h2-11H,1H3,(H2,19,20,21,22,23)",NA,"DrugBank"
"Q8IU85","CAMK1D","DB12010","Fostamatinib","InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","Fostamatinib is indicated for use in the treatment of chronic immune thrombocytopenia (ITP) in patients who have had insufficient response to previous therapy [FDA Label].","DrugBank"
"P42574","CASP3","DB00282","Pamidronic acid","InChI=1S/C3H11NO7P2/c4-2-1-3(5,12(6,7)8)13(9,10)11/h5H,1-2,4H2,(H2,6,7,8)(H2,9,10,11)","Pamidronate is indicated to treat moderate to severe hypercalcemia of malignancy, moderate to severe Paget's disease of bone, osteolytic bone metastases of breast cancer, and osteolytic lesions of multiple myeloma.[L13838]","DrugBank"
"P42574","CASP3","DB08251","4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID","InChI=1S/C17H14N2O6/c20-9-14(6-15(21)22)19-16(23)13-5-12(7-18-8-13)10-1-3-11(4-2-10)17(24)25/h1-5,7-9,14H,6H2,(H,19,23)(H,21,22)(H,24,25)/t14-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB08498","(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate","InChI=1S/C19H13ClN2O6/c1-9(23)28-16(10-4-2-5-11(20)8-10)19(27)21-13-7-3-6-12-14(13)15(24)18(26)22-17(12)25/h2-8,16H,1H3,(H,21,27)(H,22,25,26)/t16-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB05408","Emricasan","InChI=1S/C26H27F4N3O7/c1-12(31-24(38)25(39)32-16-8-6-5-7-13(16)26(2,3)4)23(37)33-17(10-19(35)36)18(34)11-40-22-20(29)14(27)9-15(28)21(22)30/h5-9,12,17H,10-11H2,1-4H3,(H,31,38)(H,32,39)(H,33,37)(H,35,36)/t12-,17-/m0/s1","Investigated for use/treatment in hepatitis (viral, C), liver disease, and transplantation (organ or tissue).","DrugBank"
"P42574","CASP3","DB12843","Oleandrin","InChI=1S/C32H48O9/c1-17-29(35)24(37-5)14-27(39-17)41-21-8-10-30(3)20(13-21)6-7-23-22(30)9-11-31(4)28(19-12-26(34)38-16-19)25(40-18(2)33)15-32(23,31)36/h12,17,20-25,27-29,35-36H,6-11,13-16H2,1-5H3/t17-,20+,21-,22-,23+,24-,25-,27-,28-,29-,30-,31+,32-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB08229","[N-(3-dibenzylcarbamoyl-oxiranecarbonyl)-hydrazino]-acetic acid","InChI=1S/C20H23N3O5/c21-23(14-19(26)27)18(25)11-17(24)20(28)22(12-15-7-3-1-4-8-15)13-16-9-5-2-6-10-16/h1-10,17,24H,11-14,21H2,(H,26,27)/t17-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB08499","N-[3-(2-fluoroethoxy)phenyl]-N'-(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-6-yl)butanediamide","InChI=1S/C21H18FN3O6/c22-8-9-31-14-3-1-2-12(10-14)23-17(26)6-7-18(27)24-13-4-5-15-16(11-13)19(28)21(30)25-20(15)29/h1-5,10-11H,6-9H2,(H,23,26)(H,24,27)(H,25,29,30)",NA,"DrugBank"
"P42574","CASP3","DB01017","Minocycline","InChI=1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(11,33)20(30)14(9)18(15)28/h5-6,9,11,17,27,29-30,33H,7-8H2,1-4H3,(H2,24,32)/t9-,11-,17-,23-/m0/s1","Oral and topical minocycline are indicated to treat inflammatory lesions of acne vulgaris.[L11701,L11704,L11719] Subgingival microspheres are indicated as an adjunct treatment in the reduction of pocket depth in adults with periodontitis.[L11716] Oral and intravenous formulations are indicated to treat infections of susceptible microorganisms.[L11707,L11710,L11713] These include rickettsiae, _Mycoplasma pneumoniae_, _Chlamydia trachomatis_, _Chlamydophila psittaci_, _Chlamydia trachomatis_, _Ureaplasma urealyticum_, _Borrelia recurrentis_, _Haemophilus ducreyi_, _Yersinia pestis_, _Francisella tularensis_, _Vibrio cholerae_, _Campylobacter fetus_, _Brucella_ species, _Bartonella bacilliformis_, _Klebsiella granulomatis_, _Escherichia coli_, _Enterobacter aerogenes_, _Shigella_ species, _Acinetobacter_ species, _Haemophilus influenzae_, and _Kelbsiella_ species.[L11710]","DrugBank"
"P42574","CASP3","DB08497","(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate","InChI=1S/C19H14N2O6/c1-10(22)27-16(11-6-3-2-4-7-11)19(26)20-13-9-5-8-12-14(13)15(23)18(25)21-17(12)24/h2-9,16H,1H3,(H,20,26)(H,21,24,25)/t16-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB06862","2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID","InChI=1S/C9H11NO5S2/c11-8-2-1-6(5-7(8)9(12)13)17(14,15)10-3-4-16/h1-2,5,10-11,16H,3-4H2,(H,12,13)",NA,"DrugBank"
"P42574","CASP3","DB03124","5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid","InChI=1S/C20H20N2O9S/c1-11(23)16(9-18(25)26)22-19(27)13-4-2-12(3-5-13)10-21-32(30,31)14-6-7-17(24)15(8-14)20(28)29/h2-8,16,21,24H,9-10H2,1H3,(H,22,27)(H,25,26)(H,28,29)/t16-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB08213","1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE","InChI=1S/C20H20N2O5S/c1-21-18-10-9-16(12-17(18)19(23)20(21)24)28(25,26)22-11-5-6-14(22)13-27-15-7-3-2-4-8-15/h2-4,7-10,12,14H,5-6,11,13H2,1H3/t14-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB07696","methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate","InChI=1S/C11H19NO5/c1-7(13)8(6-9(14)16-5)12-10(15)17-11(2,3)4/h8H,6H2,1-5H3,(H,12,15)/t8-/m0/s1",NA,"DrugBank"
"P42574","CASP3","DB06255","Incadronic acid","InChI=1S/C8H19NO6P2/c10-16(11,12)8(17(13,14)15)9-7-5-3-1-2-4-6-7/h7-9H,1-6H2,(H2,10,11,12)(H2,13,14,15)","Incadronate has been investigated in the treatment of myeloma,[A14426,A14431] leukemia,[A14427] and other cancers.[A202769] It has also been investigated in patients with hypercalcemia of malignancy.[A202862]","DrugBank"
"P42574","CASP3","DB12709","Tributyrin","InChI=1S/C15H26O6/c1-4-7-13(16)19-10-12(21-15(18)9-6-3)11-20-14(17)8-5-2/h12H,4-11H2,1-3H3",NA,"DrugBank"
"P42574","CASP3","DB13048","PAC-1","InChI=1S/C23H28N4O2/c1-2-7-20-10-6-11-21(23(20)29)16-24-25-22(28)18-27-14-12-26(13-15-27)17-19-8-4-3-5-9-19/h2-6,8-11,16,29H,1,7,12-15,17-18H2,(H,25,28)/b24-16+",NA,"DrugBank"
"P42574","CASP3","DB13751","Glycyrrhizic acid","InChI=1S/C42H62O16/c1-37(2)21-8-11-42(7)31(20(43)16-18-19-17-39(4,36(53)54)13-12-38(19,3)14-15-41(18,42)6)40(21,5)10-9-22(37)55-35-30(26(47)25(46)29(57-35)33(51)52)58-34-27(48)23(44)24(45)28(56-34)32(49)50/h16,19,21-31,34-35,44-48H,8-15,17H2,1-7H3,(H,49,50)(H,51,52)(H,53,54)/t19-,21-,22-,23-,24-,25-,26-,27+,28-,29-,30+,31+,34-,35-,38+,39-,40-,41+,42+/m0/s1","Glycyrrhizic acid is widely applied in foods as a natural sweetener. As a therapeutic agent, is has been used in a vast variety of formulations as it is reported to be anti-inflammatory, anti-ulcer, anti-allergic, antioxidant, anti-tumor, anti-diabetic and hepatoprotective. Due to this properties, its indications have been: treatment of premenstrual syndrome, treatment of viral infections, anti-lipidemic and antihyperglycemic.[A33063] It is also known to be used as a remedy for peptic ulcer and other stomach diseases.[T205]","DrugBank"
"P42574","CASP3","DB00945","Acetylsalicylic acid","InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)","**Pain, fever, and inflammation**
Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 
The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].
**Other indications**
ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 
Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 
Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].
For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].
For the prevention of thromboembolism after hip replacement surgery [FDA label]. 
For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].
Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 
**Important note regarding use of the extended-release formulation [F4405]**
In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].

 ","DrugBank"
"Q14790","CASP8","DB05103","AN-9","InChI=1S/C10H18O4/c1-5-6-8(11)13-7-14-9(12)10(2,3)4/h5-7H2,1-4H3","Investigated for use/treatment in liver cancer, lung cancer, melanoma, and leukemia (lymphoid).","DrugBank"
"Q14790","CASP8","DB12843","Oleandrin","InChI=1S/C32H48O9/c1-17-29(35)24(37-5)14-27(39-17)41-21-8-10-30(3)20(13-21)6-7-23-22(30)9-11-31(4)28(19-12-26(34)38-16-19)25(40-18(2)33)15-32(23,31)36/h12,17,20-25,27-29,35-36H,6-11,13-16H2,1-5H3/t17-,20+,21-,22-,23+,24-,25-,27-,28-,29-,30-,31+,32-/m0/s1",NA,"DrugBank"
"Q14790","CASP8","DB04297","Trichostatin A","InChI=1S/C17H22N2O3/c1-12(5-10-16(20)18-22)11-13(2)17(21)14-6-8-15(9-7-14)19(3)4/h5-11,13,22H,1-4H3,(H,18,20)/b10-5+,12-11+/t13-/m1/s1",NA,"DrugBank"
"Q14790","CASP8","DB12651","Bardoxolone","InChI=1S/C31H41NO4/c1-26(2)10-12-31(25(35)36)13-11-30(7)23(19(31)16-26)20(33)14-22-28(5)15-18(17-32)24(34)27(3,4)21(28)8-9-29(22,30)6/h14-15,19,21,23H,8-13,16H2,1-7H3,(H,35,36)/t19-,21-,23-,28-,29+,30+,31-/m0/s1",NA,"DrugBank"
"Q14790","CASP8","DB11752","Bryostatin 1","InChI=1S/C47H68O17/c1-10-11-12-13-14-15-39(51)62-43-31(22-41(53)58-9)21-34-25-37(28(2)48)61-42(54)24-32(50)23-35-26-38(59-29(3)49)45(6,7)46(55,63-35)27-36-19-30(20-40(52)57-8)18-33(60-36)16-17-44(4,5)47(43,56)64-34/h12-17,20,22,28,32-38,43,48,50,55-56H,10-11,18-19,21,23-27H2,1-9H3/b13-12+,15-14+,17-16+,30-20+,31-22+/t28-,32-,33+,34+,35-,36+,37-,38+,43+,46+,47-/m1/s1",NA,"DrugBank"
"P04040","CAT","DB14011","Nabiximols","InChI=1S/2C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15;1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h11-13,16-17,22H,5-10H2,1-4H3;11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t16-,17-;17-,18+/m10/s1","In Canada, Sativex has received a Notice of Compliance (NOC) for use as an as adjunctive treatment for symptomatic relief of spasticity in patients with multiple sclerosis (MS) who have not responded adequately to other therapy and who demonstrate meaningful improvement during an initial trial of therapy. 
Sativex has also received a Notice of Compliance with Conditions (NOC/c) for use as an adjunctive treatment for the symptomatic relief of neuropathic pain in adult patients with multiple sclerosis (MS) and as adjunctive analgesic treatment in adult patients with advanced cancer who experience moderate to severe pain during the highest tolerated dose of strong opioid therapy for persistent background pain. 
Marketing authorisations with conditions reflect the promising nature of the clinical evidence and the need for confirmatory studies to verify the clinical benefit. Patients should be advised of the conditional nature of the authorizations with conditions.","DrugBank"
"P04040","CAT","DB09061","Cannabidiol","InChI=1S/C21H30O2/c1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t17-,18+/m0/s1","When used in combination with delta-9-tetrahydrocannabinol as the product Sativex, cannabidiol was given a standard marketing authorization (ie. a Notice of Compliance (NOC)) by Health Canada for the following indications: 
1) as adjunctive treatment for symptomatic relief of spasticity in adult patients with multiple sclerosis (MS) who have not responded adequately to other therapy and who demonstrate meaningful improvement during an initial trial of therapy [L886];
Due to the need for confirmatory studies to verify the clinical benefit coupled with the promising nature of the clinical evidence, Sativex was also given a Notice of Compliance with Conditions (NOC/c) by Health Canada for the following indications: 
1) as adjunctive treatment for the symptomatic relief of neuropathic pain in adult patients with multiple sclerosis; 
2) as adjunctive analgesic treatment in adult patients with advanced cancer who experience moderate to severe pain during the highest tolerated dose of strong opioid therapy for persistent background pain [L886].","DrugBank"
"P04040","CAT","DB09096","Benzoyl peroxide","InChI=1S/C14H10O4/c15-13(11-7-3-1-4-8-11)17-18-14(16)12-9-5-2-6-10-12/h1-10H","Benzoyl peroxide is formulated with antibiotics such as [erythromycin][L33264] and [clindamycin][L33269] for the treatment of acne vulgaris. Benzoyl peroxide is formulated as a number of topical products for the treatment of acne.[L33249, L33299] Benzoyl peroxide is also indicated in combination with [tretinoin] for the treatment of acne vulgaris in patients aged nine years and older.[L34869]
Topical benzoyl peroxide is also indicated for the treatment of inflammatory lesions of rosacea in adults.[L41613]","DrugBank"
"P04040","CAT","DB01213","Fomepizole","InChI=1S/C4H6N2/c1-4-2-5-6-3-4/h2-3H,1H3,(H,5,6)","Antizol is indicated as an antidote for ethylene glycol (such as antifreeze) or methanol poisoning, or for use in suspected ethylene glycol or methanol ingestion, either alone or in combination with hemodialysis","DrugBank"
"P04040","CAT","DB14009","Medical Cannabis",NA,NA,"DrugBank"
"Q86VB7","CD163","DB05389","Tetrachlorodecaoxide","InChI=1S/4ClHO2.O2.H2O/c4*2-1-3;1-2;/h4*(H,2,3);;1H2/p-4","Investigated for use/treatment in acquired immune deficiency syndrome (AIDS) and aids-related infections, cancer/tumors (unspecified), HIV infection, and inflammatory disorders (unspecified).","DrugBank"
"P28907","CD38","DB09331","Daratumumab",NA,"Daratumumab is indicated as an intravenous injection alone or in combination with other medications for the treatment of multiple myeloma.[L13290] It is available as a combination product with [hyaluronidase] for the treatment of adults with multiple myeloma as monotherapy or combination therapy and light chain amyloidosis in combination with other drugs.[L13296]","DrugBank"
"P28907","CD38","DB14811","Isatuximab",NA,"Isatuximab is indicated in combination with [pomalidomide] and [dexamethasone] for the treatment of multiple myeloma in adults who have received at least two prior therapies including [lenalidomide] and a proteasome inhibitor.[L12099] It is also indicated in combination [carfilzomib] and dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma who have received 1 to 3 prior lines of therapy.[L12099]","DrugBank"
"P28907","CD38","DB16370","Mezagitamab",NA,NA,"DrugBank"
"P25942","CD40","DB12589","Dacetuzumab",NA,"Investigated for use/treatment in lymphoma (non-hodgkin's) and multiple myeloma.","DrugBank"
"P25942","CD40","DB06360","Lucatumumab",NA,"Investigated for use/treatment in leukemia (lymphoid), multiple myeloma, and lymphoma (unspecified).","DrugBank"
"P32320","CDA","DB00928","Azacitidine","InChI=1S/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1","For treatment of patients with the following French-American-British myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation (now classified as acute myelogenous leukemia with multilineage dysplasia), and chronic myelomonocytic leukemia.","DrugBank"
"P32320","CDA","DB03185","1-Beta-Ribofuranosyl-1,3-Diazepinone","InChI=1S/C10H14N2O5/c13-5-6-7(14)8(15)9(17-6)12-4-2-1-3-11-10(12)16/h1-4,6-9,13-15H,5H2,(H,11,16)/t6-,7-,8-,9-/m1/s1",NA,"DrugBank"
"P32320","CDA","DB15694","Cedazuridine","InChI=1S/C9H14F2N2O5/c10-9(11)6(16)4(3-14)18-7(9)13-2-1-5(15)12-8(13)17/h4-7,14-16H,1-3H2,(H,12,17)/t4-,5-,6-,7-/m1/s1","Cedazuridine, in combination with decitabine, is indicated for the treatment of myelodysplastic syndromes (MDS), including MDS with refractory anemia, MDS with refractory anemia and ringed sideroblasts, MDS with refractory anemia and excess blasts, MDS scoring intermediate-1, intermediate-2, or high-risk on the International Prognostic Scoring System (IPSS), and chronic myelomonocytic leukemia (CMML).[L14897]","DrugBank"
"P24941","CDK2","DB07164","N-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine","InChI=1S/C13H12N6/c1-2-12-10(8-16-19(12)15-6-1)11-5-7-14-13(18-11)17-9-3-4-9/h1-2,5-9H,3-4H2,(H,14,17,18)",NA,"DrugBank"
"P24941","CDK2","DB04669","TRIAZOLOPYRIMIDINE","InChI=1S/C17H13BrN6/c18-14-3-1-2-13(8-14)15-9-16(24-17(23-15)21-11-22-24)20-10-12-4-6-19-7-5-12/h1-9,11H,10H2,(H,20,21,22,23)/p+1",NA,"DrugBank"
"P24941","CDK2","DB08233","6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE","InChI=1S/C18H21N5O2/c24-14-8-6-13(7-9-14)21-18-22-16-15(19-11-20-16)17(23-18)25-10-12-4-2-1-3-5-12/h6-9,11-12,24H,1-5,10H2,(H2,19,20,21,22,23)",NA,"DrugBank"
"P24941","CDK2","DB08241","4-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)--BENZAMIDE","InChI=1S/C19H22N6O2/c20-16(26)13-6-8-14(9-7-13)23-19-24-17-15(21-11-22-17)18(25-19)27-10-12-4-2-1-3-5-12/h6-9,11-12H,1-5,10H2,(H2,20,26)(H2,21,22,23,24,25)",NA,"DrugBank"
"P24941","CDK2","DB08536","3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo[1,5-a]pyridin-7-amine","InChI=1S/C18H14BrN5/c19-16-11-23-24-17(16)6-15(14-4-2-1-3-5-14)7-18(24)22-10-13-8-20-12-21-9-13/h1-9,11-12,22H,10H2",NA,"DrugBank"
"P24941","CDK2","DB07493","5-Bromoindirubin","InChI=1S/C16H9BrN2O2/c17-8-5-6-12-10(7-8)13(16(21)19-12)14-15(20)9-3-1-2-4-11(9)18-14/h1-7,18H,(H,19,21)/b14-13-",NA,"DrugBank"
"P24941","CDK2","DB07065","5-(2,3-dichlorophenyl)-N-(pyridin-4-ylmethyl)-3-thiocyanatopyrazolo[1,5-a]pyrimidin-7-amine","InChI=1S/C19H12Cl2N6S/c20-14-3-1-2-13(18(14)21)15-8-17(24-9-12-4-6-23-7-5-12)27-19(26-15)16(10-25-27)28-11-22/h1-8,10,24H,9H2",NA,"DrugBank"
"P24941","CDK2","DB08094","RO-4584820","InChI=1S/C18H21F2N5O4S/c1-29-13-4-3-12(19)15(20)14(13)16(26)11-9-22-18(24-17(11)21)23-10-5-7-25(8-6-10)30(2,27)28/h3-4,9-10H,5-8H2,1-2H3,(H3,21,22,23,24)",NA,"DrugBank"
"P24941","CDK2","DB07686","4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE","InChI=1S/C17H21N7O2S/c18-27(25,26)14-8-6-13(7-9-14)22-16-10-15(21-12-4-2-1-3-5-12)23-17-19-11-20-24(16)17/h6-12,22H,1-5H2,(H2,18,25,26)(H,19,20,21,23)",NA,"DrugBank"
"P24941","CDK2","DB08139","5-chloro-7-[(1-methylethyl)amino]pyrazolo[1,5-a]pyrimidine-3-carbonitrile","InChI=1S/C10H10ClN5/c1-6(2)14-9-3-8(11)15-10-7(4-12)5-13-16(9)10/h3,5-6,14H,1-2H3",NA,"DrugBank"
